flightId,airlineName,origin,destination,datetime,price,capacity
FL1,Garuda Indonesia,Surabaya,Samarinda,2026-09-10 10:00,1200000,149
FL2,Air Asia,Jakarta,Makassar,2026-03-13 12:30,850000,180
FL3,Lion Air,Surabaya,Aceh,2026-04-09 14:15,750000,210
FL4,Citilink,Denpasar,Samarinda,2026-07-13 08:45,950000,179
FL5,Batik Air,Yogyakarta,Tarakan,2026-01-13 16:00,1100000,160
FL6,Pelita Air,Jakarta,Balikpapan,2026-10-15 09:30,1350000,160
FL7,Super Air Jet,Medan,Bandung,2026-11-20 13:45,920000,180
FL8,Garuda Indonesia,Samarinda,Jakarta,2026-12-05 07:15,1600000,150
FL9,Air Asia,Lombok,Surabaya,2026-08-18 15:20,650000,180
FL10,Batik Air,Makassar,Semarang,2026-05-22 11:00,1050000,160
